fold,class,bar_resnet50,bar_vgg16,bg_frac,excess_resnet,excess_vgg
1,Pepper__bell___Bacterial_spot,0.3130030930042267,0.2295864820480346,0.5909000318877551,-0.2778969388835284,-0.36131354983972047
1,Pepper__bell___Bacterial_spot,0.1887531727552414,0.2033775895833969,0.4884406887755102,-0.29968751602026883,-0.2850630991921133
1,Pepper__bell___Bacterial_spot,0.2425323277711868,0.3354647159576416,0.4766422193877551,-0.23410989161656828,-0.14117750343011348
1,Pepper__bell___Bacterial_spot,0.623897135257721,0.6046302914619446,0.8010403380102041,-0.1771432027524832,-0.19641004654825955
1,Pepper__bell___Bacterial_spot,0.4752456843852997,0.4549242854118347,0.6634247448979592,-0.18817906051265954,-0.2085004594861245
1,Pepper__bell___Bacterial_spot,0.1864629089832306,0.2332776039838791,0.48668686224489793,-0.30022395326166734,-0.25340925826101884
1,Pepper__bell___Bacterial_spot,0.2189409881830215,0.2318608462810516,0.466617506377551,-0.24767651819452952,-0.2347566600964994
1,Pepper__bell___Bacterial_spot,0.2477875500917434,0.176693245768547,0.5619220344387755,-0.3141344843470321,-0.38522878867022853
1,Pepper__bell___Bacterial_spot,0.5031096935272217,0.4725198149681091,0.6725127551020408,-0.1694030615748191,-0.1999929401339317
1,Pepper__bell___Bacterial_spot,0.3426650464534759,0.275368869304657,0.5129145408163265,-0.17024949436285058,-0.2375456715116695
1,Pepper__bell___Bacterial_spot,0.2383352816104889,0.2190533578395843,0.5577965561224489,-0.31946127451196005,-0.33874319828286464
1,Pepper__bell___Bacterial_spot,0.0816005542874336,0.1455514430999755,0.26289461096938777,-0.18129405668195417,-0.11734316786941226
1,Pepper__bell___Bacterial_spot,0.4086011350154876,0.3040538132190704,0.6538584183673469,-0.2452572833518593,-0.34980460514827655
1,Pepper__bell___Bacterial_spot,0.1754504591226577,0.1129729077219963,0.5232581313775511,-0.3478076722548934,-0.41028522365555475
1,Pepper__bell___Bacterial_spot,0.4236891567707062,0.2950517833232879,0.6546356823979592,-0.23094652562725304,-0.3595838990746713
1,Pepper__bell___Bacterial_spot,0.1389501094818115,0.1056203842163086,0.42996651785714285,-0.2910164083753314,-0.32434613364083426
1,Pepper__bell___Bacterial_spot,0.2872986793518066,0.2746342122554779,0.5979153380102041,-0.31061665865839755,-0.32328112575472623
1,Pepper__bell___Bacterial_spot,0.2347888648509979,0.2020424455404281,0.4082629145408163,-0.17347404968981842,-0.2062204690003882
1,Pepper__bell___Bacterial_spot,0.2634164094924927,0.2162961363792419,0.5608856823979592,-0.29746927290546654,-0.34458954601871733
1,Pepper__bell___Bacterial_spot,0.1821232587099075,0.2207923829555511,0.42299107142857145,-0.24086781271866395,-0.20219868847302036
1,Pepper__bell___Bacterial_spot,0.5418328046798706,0.5775184035301208,0.6193399234693877,-0.0775071187895171,-0.04182151993926686
1,Pepper__bell___Bacterial_spot,0.2323738783597946,0.2031935602426529,0.5160634566326531,-0.28368957827285846,-0.3128698963900002
