fold,class,bar_resnet50,bar_vgg16
1,Pepper__bell___Bacterial_spot,0.24461370706558228,0.1256009340286255
1,Pepper__bell___Bacterial_spot,0.4042937457561493,0.3495927155017853
1,Pepper__bell___Bacterial_spot,0.19826017320156097,0.13143080472946167
1,Pepper__bell___Bacterial_spot,0.19538916647434235,0.16307859122753143
1,Pepper__bell___Bacterial_spot,0.4604111909866333,0.32813891768455505
1,Pepper__bell___Bacterial_spot,0.27799588441848755,0.26233524084091187
1,Pepper__bell___Bacterial_spot,0.16891784965991974,0.15726719796657562
1,Pepper__bell___Bacterial_spot,0.2928919196128845,0.2835935056209564
1,Pepper__bell___Bacterial_spot,0.25920364260673523,0.19582608342170715
1,Pepper__bell___Bacterial_spot,0.24890975654125214,0.19487588107585907
1,Pepper__bell___Bacterial_spot,0.2619589567184448,0.35744860768318176
1,Pepper__bell___Bacterial_spot,0.16962678730487823,0.16863076388835907
1,Pepper__bell___Bacterial_spot,0.17965510487556458,0.0918290987610817
1,Pepper__bell___Bacterial_spot,0.4513949453830719,0.2255055457353592
1,Pepper__bell___Bacterial_spot,0.21552196145057678,0.3012545108795166
1,Pepper__bell___Bacterial_spot,0.19001324474811554,0.17156286537647247
1,Pepper__bell___Bacterial_spot,0.29438307881355286,0.28906261920928955
1,Pepper__bell___Bacterial_spot,0.21303944289684296,0.1936480700969696
1,Pepper__bell___Bacterial_spot,0.25994670391082764,0.188099667429924
1,Pepper__bell___Bacterial_spot,0.2856721878051758,0.17323116958141327
1,Pepper__bell___Bacterial_spot,0.3237782418727875,0.23104552924633026
1,Pepper__bell___Bacterial_spot,0.25534212589263916,0.26773303747177124
1,Pepper__bell___Bacterial_spot,0.22698992490768433,0.16827532649040222
1,Pepper__bell___Bacterial_spot,0.3379804193973541,0.19041138887405396
1,Pepper__bell___Bacterial_spot,0.24931399524211884,0.22702081501483917
1,Pepper__bell___Bacterial_spot,0.2913508713245392,0.18304434418678284
1,Pepper__bell___Bacterial_spot,0.24965333938598633,0.20365764200687408
1,Pepper__bell___Bacterial_spot,0.2012084275484085,0.2938871681690216
1,Pepper__bell___Bacterial_spot,0.12241362035274506,0.10213769972324371
1,Pepper__bell___Bacterial_spot,0.19522340595722198,0.10541002452373505
1,Pepper__bell___Bacterial_spot,0.2179330587387085,0.17056144773960114
1,Pepper__bell___Bacterial_spot,0.2747043967247009,0.25766706466674805
1,Pepper__bell___Bacterial_spot,0.20135487616062164,0.1904822736978531
1,Pepper__bell___Bacterial_spot,0.2780362665653229,0.2763512134552002
